,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
3601,RT @Gurmeetramrahim: Four Generations of my family came together to celebrate #InternationalYogaDay. Huge applaud to PM @narendramodi Ji fo…,FALSE,0,NA,6/21/2017 11:49,FALSE,NA,8.80393E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",tanurathore10,31884,TRUE,FALSE,NA,NA
3602,RT @Gurmeetramrahim: Four Generations of my family came together to celebrate #InternationalYogaDay. Huge applaud to PM @narendramodi Ji fo…,FALSE,0,NA,6/21/2017 11:49,FALSE,NA,8.80393E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",alkasingh7888,31884,TRUE,FALSE,NA,NA
3603,RT @moayush: Take care of sciatica &amp; your lower backache with regular practice of Salabhasana. #IDY2017 #YogaAsana #YogaDay https://t.co/du…,FALSE,0,NA,6/21/2017 11:45,FALSE,NA,8.80392E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",GaRUMgodan,68,TRUE,FALSE,NA,NA
3604,"Retweeted Indian Diplomacy (@IndianDiplomacy):

Europe twists &amp; turns for #Yoga
Snippets of #IDY2017 from across... https://t.co/1g30GeTd1h",FALSE,1,NA,6/21/2017 11:44,FALSE,NA,8.80391E+17,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",CGIJeddah,0,FALSE,FALSE,NA,NA
3605,"RT @IndianDiplomacy: Europe twists &amp; turns for #Yoga
Snippets of #IDY2017 from across the European continent https://t.co/QDMyQciVft",FALSE,0,NA,6/21/2017 11:44,FALSE,NA,8.80391E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",CGIJeddah,21,TRUE,FALSE,NA,NA
3606,RT @YouTubeIndia: Kick-start your day with a stretch! Celebrating #InternationalYogaDay <U+2192> https://t.co/ipIBGlWQnG @DDNational https://t.co/…,FALSE,0,NA,6/21/2017 11:43,FALSE,NA,8.80391E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",itemauzokora1,8,TRUE,FALSE,NA,NA
3607,RT @Gurmeetramrahim: Four Generations of my family came together to celebrate #InternationalYogaDay. Huge applaud to PM @narendramodi Ji fo…,FALSE,0,NA,6/21/2017 11:43,FALSE,NA,8.80391E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Gurpinder21768,31884,TRUE,FALSE,NA,NA
3608,RT @Gurmeetramrahim: Four Generations of my family came together to celebrate #InternationalYogaDay. Huge applaud to PM @narendramodi Ji fo…,FALSE,0,NA,6/21/2017 11:42,FALSE,NA,8.80391E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",InsanPremlata,31884,TRUE,FALSE,NA,NA
3609,RT @kinkylilboots: Here's how @SonyLIV celebrates #InternationalYogaDay: https://t.co/qqqb65CsQy https://t.co/MJKbFJQqgf,FALSE,0,NA,6/21/2017 11:41,FALSE,NA,8.80391E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Debby_Dawnson,1,TRUE,FALSE,NA,NA
3610,RT @Gurmeetramrahim: Four Generations of my family came together to celebrate #InternationalYogaDay. Huge applaud to PM @narendramodi Ji fo…,FALSE,0,NA,6/21/2017 11:41,FALSE,NA,8.80391E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Amanjotdhaliwa6,31884,TRUE,FALSE,NA,NA
3611,RT @fridayfans17: Actress Bipasha Basu &amp; her husband Karan Singh Grover are now fitness buddies. #Yoga #Internationalyogaday #karansinghgro…,FALSE,0,NA,6/21/2017 11:41,FALSE,NA,8.80391E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",KSGAngels,3,TRUE,FALSE,NA,NA
3612,"RT @kinkylilboots: This #InternationalYogaDay, celebrate health. Read the entire story here: https://t.co/JEwC8G3mRy https://t.co/7u9yiSkw8R",FALSE,0,NA,6/21/2017 11:41,FALSE,NA,8.80391E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Debby_Dawnson,1,TRUE,FALSE,NA,NA
3613,RT @SriSri: #IDYwithArtofLiving in Japanese Parliament. #InternationalYogaDay https://t.co/C9XJ7DseUT,FALSE,0,NA,6/21/2017 11:41,FALSE,NA,8.80391E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Karishmalokhan1,1300,TRUE,FALSE,NA,NA
3614,"RT @SriSri: Thousands participated in #InternationalYogaDay at Soweto, South Africa. #IDYwithArtofLiving https://t.co/7jtNxeiTv7",FALSE,0,NA,6/21/2017 11:41,FALSE,NA,8.80391E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Karishmalokhan1,1853,TRUE,FALSE,NA,NA
